index,value,unit
2019-09-28T18:04:17.294128494Z,0.0,W
2019-09-28T18:04:18.294430387Z,0.0,W
2019-09-28T18:04:19.294890648Z,0.0,W
2019-09-28T18:04:20.294223434Z,0.0,W
2019-09-28T18:04:21.294253824Z,0.0,W
2019-09-28T18:04:22.294215462Z,0.0,W
2019-09-28T18:04:23.294204596Z,2.18,W
2019-09-28T18:04:24.294308973Z,4.08,W
2019-09-28T18:04:25.294258601Z,5.73,W
2019-09-28T18:04:26.294199225Z,6.3500000000000005,W
2019-09-28T18:04:27.294232218Z,6.5200000000000005,W
2019-09-28T18:04:28.294278708Z,6.45,W
2019-09-28T18:04:29.294308319Z,6.41,W
2019-09-28T18:04:30.294346177Z,6.59,W
2019-09-28T18:04:31.294305534Z,6.63,W
2019-09-28T18:04:32.294350509Z,6.4,W
2019-09-28T18:04:33.294331483Z,6.29,W
2019-09-28T18:04:34.294352452Z,6.19,W
2019-09-28T18:04:35.294382043Z,6.23,W
2019-09-28T18:04:36.294390256Z,6.44,W
2019-09-28T18:04:37.294319092Z,6.47,W
2019-09-28T18:04:38.29443017Z,6.42,W
2019-09-28T18:04:39.294400123Z,6.5600000000000005,W
2019-09-28T18:04:40.294410947Z,6.67,W
2019-09-28T18:04:41.294381019Z,6.45,W
2019-09-28T18:04:42.294295713Z,6.32,W
2019-09-28T18:04:43.294410274Z,6.37,W
2019-09-28T18:04:44.294414334Z,6.2700000000000005,W
2019-09-28T18:04:45.294333644Z,6.26,W
2019-09-28T18:04:46.29593553Z,6.37,W
2019-09-28T18:04:47.294467744Z,6.32,W
2019-09-28T18:04:48.294476916Z,6.38,W
2019-09-28T18:04:49.294407336Z,6.4,W
2019-09-28T18:04:50.29444625Z,6.21,W
2019-09-28T18:04:51.294438662Z,6.1000000000000005,W
2019-09-28T18:04:52.294442446Z,6.22,W
2019-09-28T18:04:53.294381227Z,6.34,W
2019-09-28T18:04:54.294484751Z,6.390000000000001,W
2019-09-28T18:04:55.294503149Z,6.47,W
2019-09-28T18:04:56.294416047Z,6.45,W
2019-09-28T18:04:57.294467187Z,6.42,W
2019-09-28T18:04:58.294493075Z,6.390000000000001,W
2019-09-28T18:04:59.29449971Z,6.3500000000000005,W
2019-09-28T18:05:00.294584964Z,6.3100000000000005,W
2019-09-28T18:05:01.294529969Z,6.3,W
2019-09-28T18:05:02.294529595Z,6.4,W
2019-09-28T18:05:03.294524967Z,6.46,W
2019-09-28T18:05:04.294893576Z,6.36,W
2019-09-28T18:05:05.294546575Z,6.32,W
2019-09-28T18:05:06.294459065Z,6.2700000000000005,W
2019-09-28T18:05:07.29460317Z,6.37,W
2019-09-28T18:05:08.294591651Z,6.33,W
2019-09-28T18:05:09.29454863Z,6.2700000000000005,W
2019-09-28T18:05:10.294547229Z,6.49,W
2019-09-28T18:05:11.294621448Z,6.49,W
2019-09-28T18:05:12.294557417Z,4.03,W
2019-09-28T18:05:13.294559257Z,0.0,W
2019-09-28T18:05:14.294581343Z,0.0,W
2019-09-28T18:05:15.294581676Z,0.0,W
2019-09-28T18:05:16.294573381Z,0.0,W
2019-09-28T18:05:17.294579207Z,0.0,W
