index,value,unit
2019-09-28T18:16:03.351176284Z,0.0,W
2019-09-28T18:16:04.351309859Z,0.0,W
2019-09-28T18:16:05.351482738Z,0.0,W
2019-09-28T18:16:06.351397538Z,0.0,W
2019-09-28T18:16:07.351461896Z,0.0,W
2019-09-28T18:16:08.352239079Z,0.0,W
2019-09-28T18:16:09.351596398Z,0.0,W
2019-09-28T18:16:10.351668543Z,2.04,W
2019-09-28T18:16:11.351636988Z,5.51,W
2019-09-28T18:16:12.351778993Z,4.49,W
2019-09-28T18:16:13.352420192Z,2.02,W
2019-09-28T18:16:14.351958537Z,2.79,W
2019-09-28T18:16:15.351888324Z,3.3200000000000003,W
2019-09-28T18:16:16.352106049Z,3.7800000000000002,W
2019-09-28T18:16:17.352142449Z,4.7700000000000005,W
2019-09-28T18:16:18.352184153Z,7.390000000000001,W
2019-09-28T18:16:19.352195412Z,11.49,W
2019-09-28T18:16:20.352221352Z,15.58,W
2019-09-28T18:16:21.3523661Z,18.42,W
2019-09-28T18:16:22.352388525Z,19.23,W
2019-09-28T18:16:23.352399131Z,19.36,W
2019-09-28T18:16:24.352565672Z,19.42,W
2019-09-28T18:16:25.352510138Z,19.45,W
2019-09-28T18:16:26.353399562Z,19.330000000000002,W
2019-09-28T18:16:27.352821124Z,19.38,W
2019-09-28T18:16:28.352775509Z,19.48,W
2019-09-28T18:16:29.352784576Z,19.36,W
2019-09-28T18:16:30.352898328Z,19.44,W
2019-09-28T18:16:31.353622405Z,19.62,W
2019-09-28T18:16:32.353274132Z,19.580000000000002,W
2019-09-28T18:16:33.353074171Z,19.38,W
2019-09-28T18:16:34.3531669Z,19.38,W
2019-09-28T18:16:35.35319781Z,19.42,W
2019-09-28T18:16:36.353174651Z,19.36,W
2019-09-28T18:16:37.353287178Z,19.46,W
2019-09-28T18:16:38.354013155Z,19.51,W
2019-09-28T18:16:39.35548921Z,19.54,W
2019-09-28T18:16:40.353528853Z,19.56,W
2019-09-28T18:16:41.35358436Z,19.53,W
2019-09-28T18:16:42.3536313Z,19.48,W
2019-09-28T18:16:43.354368192Z,19.52,W
2019-09-28T18:16:44.353853983Z,19.5,W
2019-09-28T18:16:45.354365486Z,19.44,W
2019-09-28T18:16:46.35459429Z,19.44,W
2019-09-28T18:16:47.354621022Z,19.46,W
2019-09-28T18:16:48.354771692Z,19.51,W
2019-09-28T18:16:49.354825543Z,19.51,W
2019-09-28T18:16:50.354118058Z,19.56,W
2019-09-28T18:16:51.354106775Z,19.63,W
2019-09-28T18:16:52.354165805Z,19.61,W
2019-09-28T18:16:53.354236394Z,19.580000000000002,W
2019-09-28T18:16:54.354306918Z,19.62,W
2019-09-28T18:16:55.354403378Z,19.580000000000002,W
2019-09-28T18:16:56.354460896Z,19.48,W
2019-09-28T18:16:57.354453223Z,19.44,W
2019-09-28T18:16:58.354561113Z,19.44,W
2019-09-28T18:16:59.354638813Z,19.51,W
2019-09-28T18:17:00.354635821Z,19.57,W
2019-09-28T18:17:01.354769769Z,19.6,W
2019-09-28T18:17:02.354866401Z,19.7,W
2019-09-28T18:17:03.354941218Z,19.7,W
2019-09-28T18:17:04.354924095Z,19.12,W
2019-09-28T18:17:05.355161663Z,11.34,W
2019-09-28T18:17:06.35508616Z,1.36,W
2019-09-28T18:17:07.355104721Z,0.0,W
2019-09-28T18:17:08.355155219Z,0.0,W
2019-09-28T18:17:09.355149528Z,0.0,W
2019-09-28T18:17:10.355283526Z,0.0,W
