index,value,unit
2019-09-28T18:17:36.356830519Z,0.0,W
2019-09-28T18:17:37.356820227Z,0.0,W
2019-09-28T18:17:38.356888503Z,0.0,W
2019-09-28T18:17:39.356872216Z,0.0,W
2019-09-28T18:17:40.357014124Z,0.0,W
2019-09-28T18:17:41.35706622Z,1.11,W
2019-09-28T18:17:42.357132007Z,1.47,W
2019-09-28T18:17:43.357114733Z,3.33,W
2019-09-28T18:17:44.357216652Z,6.0600000000000005,W
2019-09-28T18:17:45.357273637Z,4.64,W
2019-09-28T18:17:46.357301561Z,3.73,W
2019-09-28T18:17:47.357505556Z,4.33,W
2019-09-28T18:17:48.358219005Z,4.55,W
2019-09-28T18:17:49.357492235Z,5.7,W
2019-09-28T18:17:50.358426697Z,8.08,W
2019-09-28T18:17:51.357774437Z,11.47,W
2019-09-28T18:17:52.357679258Z,15.91,W
2019-09-28T18:17:53.357728773Z,18.95,W
2019-09-28T18:17:54.357822732Z,19.5,W
2019-09-28T18:17:55.357891757Z,19.37,W
2019-09-28T18:17:56.357874848Z,19.3,W
2019-09-28T18:17:57.357956258Z,19.3,W
2019-09-28T18:17:58.358042861Z,19.35,W
2019-09-28T18:17:59.358104905Z,19.5,W
2019-09-28T18:18:00.358194643Z,19.53,W
2019-09-28T18:18:01.358214322Z,19.37,W
2019-09-28T18:18:02.35829082Z,19.43,W
2019-09-28T18:18:03.358276634Z,19.55,W
2019-09-28T18:18:04.359181537Z,19.55,W
2019-09-28T18:18:05.358653101Z,19.44,W
2019-09-28T18:18:06.358477741Z,19.47,W
2019-09-28T18:18:07.358430702Z,19.54,W
2019-09-28T18:18:08.361840435Z,19.48,W
2019-09-28T18:18:09.358588711Z,19.51,W
2019-09-28T18:18:10.358586755Z,19.53,W
2019-09-28T18:18:11.358680244Z,19.51,W
2019-09-28T18:18:12.358776427Z,19.580000000000002,W
2019-09-28T18:18:13.358827054Z,19.580000000000002,W
2019-09-28T18:18:14.358970876Z,19.650000000000002,W
2019-09-28T18:18:15.358875388Z,19.72,W
2019-09-28T18:18:16.358939848Z,19.68,W
2019-09-28T18:18:17.359069378Z,17.12,W
2019-09-28T18:18:18.359114727Z,6.08,W
2019-09-28T18:18:19.35917202Z,0.0,W
2019-09-28T18:18:20.359204633Z,0.0,W
2019-09-28T18:18:21.35920344Z,0.0,W
2019-09-28T18:18:22.35936432Z,0.0,W
