index,value,unit
2019-09-28T17:40:58.274714657Z,0.0,W
2019-09-28T17:40:59.274794696Z,0.0,W
2019-09-28T17:41:00.274746931Z,0.0,W
2019-09-28T17:41:01.27483236Z,0.0,W
2019-09-28T17:41:02.274797984Z,3.1,W
2019-09-28T17:41:03.274811179Z,15.450000000000001,W
2019-09-28T17:41:04.274940569Z,24.5,W
2019-09-28T17:41:05.274950529Z,24.0,W
2019-09-28T17:41:06.275080185Z,23.580000000000002,W
2019-09-28T17:41:07.275038536Z,23.28,W
2019-09-28T17:41:08.275063209Z,23.0,W
2019-09-28T17:41:09.275053702Z,22.91,W
2019-09-28T17:41:10.275117766Z,23.09,W
2019-09-28T17:41:11.275150026Z,23.2,W
2019-09-28T17:41:12.275308357Z,23.19,W
2019-09-28T17:41:13.275284134Z,23.23,W
2019-09-28T17:41:14.275248358Z,23.39,W
2019-09-28T17:41:15.275204779Z,23.47,W
2019-09-28T17:41:16.275376896Z,23.37,W
2019-09-28T17:41:17.275257584Z,23.3,W
2019-09-28T17:41:18.27538147Z,23.2,W
2019-09-28T17:41:19.275371677Z,22.88,W
2019-09-28T17:41:20.275434331Z,22.97,W
2019-09-28T17:41:21.275461808Z,23.07,W
2019-09-28T17:41:22.27609873Z,22.94,W
2019-09-28T17:41:23.276295601Z,23.0,W
2019-09-28T17:41:24.275507295Z,23.05,W
2019-09-28T17:41:25.275636936Z,23.03,W
2019-09-28T17:41:26.27566515Z,22.990000000000002,W
2019-09-28T17:41:27.275656436Z,23.07,W
2019-09-28T17:41:28.27566867Z,23.150000000000002,W
2019-09-28T17:41:29.275721977Z,23.2,W
2019-09-28T17:41:30.276505105Z,23.21,W
2019-09-28T17:41:31.275876559Z,23.05,W
2019-09-28T17:41:32.276266335Z,23.16,W
2019-09-28T17:41:33.275940935Z,23.21,W
2019-09-28T17:41:34.275866233Z,22.990000000000002,W
2019-09-28T17:41:35.27585898Z,22.900000000000002,W
2019-09-28T17:41:36.27586705Z,22.95,W
2019-09-28T17:41:37.275962944Z,23.09,W
2019-09-28T17:41:38.275989412Z,23.21,W
2019-09-28T17:41:39.276042453Z,23.16,W
2019-09-28T17:41:40.275999444Z,23.04,W
2019-09-28T17:41:41.276178009Z,22.91,W
2019-09-28T17:41:42.276118648Z,22.88,W
2019-09-28T17:41:43.276235111Z,23.1,W
2019-09-28T17:41:44.276143899Z,23.04,W
2019-09-28T17:41:45.276204761Z,22.96,W
2019-09-28T17:41:46.276261323Z,23.06,W
2019-09-28T17:41:47.278504079Z,23.150000000000002,W
2019-09-28T17:41:48.276328296Z,23.03,W
2019-09-28T17:41:49.276330208Z,23.06,W
2019-09-28T17:41:50.276558569Z,23.17,W
2019-09-28T17:41:51.276403256Z,23.080000000000002,W
2019-09-28T17:41:52.276411142Z,23.150000000000002,W
2019-09-28T17:41:53.276518604Z,23.19,W
2019-09-28T17:41:54.276472392Z,22.87,W
2019-09-28T17:41:55.277261003Z,22.82,W
2019-09-28T17:41:56.276541818Z,23.0,W
2019-09-28T17:41:57.276570958Z,22.990000000000002,W
2019-09-28T17:41:58.276593798Z,23.18,W
2019-09-28T17:41:59.276675088Z,23.2,W
2019-09-28T17:42:00.276651455Z,23.03,W
2019-09-28T17:42:01.276682898Z,23.07,W
2019-09-28T17:42:02.276741042Z,23.04,W
2019-09-28T17:42:03.276741513Z,22.97,W
2019-09-28T17:42:04.276723685Z,23.07,W
2019-09-28T17:42:05.276792808Z,23.240000000000002,W
2019-09-28T17:42:06.276841133Z,22.96,W
2019-09-28T17:42:07.276895409Z,20.82,W
2019-09-28T17:42:08.276887387Z,10.25,W
2019-09-28T17:42:09.276855318Z,0.86,W
2019-09-28T17:42:10.276955949Z,0.0,W
2019-09-28T17:42:11.277035158Z,0.0,W
