index,value,unit
2019-09-28T17:45:10.281420886Z,0.0,W
2019-09-28T17:45:11.281450447Z,0.0,W
2019-09-28T17:45:12.281491475Z,0.0,W
2019-09-28T17:45:13.28148672Z,0.0,W
2019-09-28T17:45:14.28157918Z,0.0,W
2019-09-28T17:45:15.282121602Z,0.0,W
2019-09-28T17:45:16.281541252Z,0.0,W
2019-09-28T17:45:17.281593612Z,2.67,W
2019-09-28T17:45:18.288759235Z,20.44,W
2019-09-28T17:45:19.281662608Z,31.91,W
2019-09-28T17:45:20.281616245Z,30.45,W
2019-09-28T17:45:21.281799346Z,29.69,W
2019-09-28T17:45:22.282288036Z,29.66,W
2019-09-28T17:45:23.281750204Z,29.84,W
2019-09-28T17:45:24.281669959Z,29.810000000000002,W
2019-09-28T17:45:25.28174668Z,29.92,W
2019-09-28T17:45:26.281780368Z,29.990000000000002,W
2019-09-28T17:45:27.281870148Z,29.78,W
2019-09-28T17:45:28.281758897Z,29.900000000000002,W
2019-09-28T17:45:29.281831862Z,30.080000000000002,W
2019-09-28T17:45:30.282520912Z,29.87,W
2019-09-28T17:45:31.281933445Z,29.8,W
2019-09-28T17:45:32.281951938Z,29.82,W
2019-09-28T17:45:33.281938274Z,29.89,W
2019-09-28T17:45:34.281909328Z,29.91,W
2019-09-28T17:45:35.282051973Z,29.75,W
2019-09-28T17:45:36.281982589Z,29.580000000000002,W
2019-09-28T17:45:37.282015296Z,29.560000000000002,W
2019-09-28T17:45:38.282015221Z,29.75,W
2019-09-28T17:45:39.282085864Z,29.77,W
2019-09-28T17:45:40.282185099Z,29.75,W
2019-09-28T17:45:41.28208093Z,29.72,W
2019-09-28T17:45:42.282408724Z,29.72,W
2019-09-28T17:45:43.282167993Z,29.830000000000002,W
2019-09-28T17:45:44.282096229Z,29.89,W
2019-09-28T17:45:45.282842423Z,29.82,W
2019-09-28T17:45:46.282121228Z,29.8,W
2019-09-28T17:45:47.282143368Z,29.73,W
2019-09-28T17:45:48.282469848Z,29.68,W
2019-09-28T17:45:49.282841671Z,29.78,W
2019-09-28T17:45:50.282269599Z,29.82,W
2019-09-28T17:45:51.282323113Z,29.86,W
2019-09-28T17:45:52.282395721Z,29.84,W
2019-09-28T17:45:53.282378924Z,29.86,W
2019-09-28T17:45:54.28242597Z,29.87,W
2019-09-28T17:45:55.282427736Z,29.85,W
2019-09-28T17:45:56.282406596Z,29.89,W
2019-09-28T17:45:57.282428425Z,29.88,W
2019-09-28T17:45:58.282430598Z,29.72,W
2019-09-28T17:45:59.282551489Z,29.57,W
2019-09-28T17:46:00.282404977Z,29.66,W
2019-09-28T17:46:01.283072425Z,29.740000000000002,W
2019-09-28T17:46:02.28353847Z,29.75,W
2019-09-28T17:46:03.282520628Z,29.71,W
2019-09-28T17:46:04.282567367Z,29.67,W
2019-09-28T17:46:05.282644076Z,29.76,W
2019-09-28T17:46:06.282537381Z,29.810000000000002,W
2019-09-28T17:46:07.282655904Z,29.85,W
2019-09-28T17:46:08.282629023Z,29.830000000000002,W
2019-09-28T17:46:09.282667611Z,29.72,W
2019-09-28T17:46:10.282683544Z,29.76,W
2019-09-28T17:46:11.282607949Z,29.84,W
2019-09-28T17:46:12.282719321Z,29.82,W
2019-09-28T17:46:13.282743289Z,29.82,W
2019-09-28T17:46:14.28334422Z,29.75,W
2019-09-28T17:46:15.282690138Z,28.400000000000002,W
2019-09-28T17:46:16.282800641Z,16.03,W
2019-09-28T17:46:17.282878364Z,2.5100000000000002,W
2019-09-28T17:46:18.28285181Z,0.0,W
2019-09-28T17:46:19.282828101Z,0.0,W
